policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
lite_rule_baseline,S2,1001,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.0236902468966135,888.9112984992582
bc,S2,1001,True,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.06030970481410202,854.5233987675924
ppo,S2,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,5.4864098720417385,0.5486409872041739,0.37690144655434354,0.16469966858049695,0.3895349855337571,0.0,0,0.0019037069287151098,360,0,0,0,0,0.0,0.0,0.07171508333764602,843.5092216099356
bc_dagger,S2,1001,True,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.059377872954457185,855.6863121706842
lite_rule_baseline,S3,1000,False,1,0,1,0,,8.949999999999854,179,10.162428332882333,0.9744789539138554,0.05728731364171619,0.007670245910164895,0.04633134003427089,0.0,1,0.00210104463621974,179,0,0,0,2,0.0,6.773496319717086,0.023919474838370477,976.7216936618472
bc,S3,1000,False,0,1,1,0,COLLISION_STATIC,10.08999999999983,202,11.191859918761264,1.0731915235943994,-0.003845620511187975,0.14982081413246717,0.29513187698884613,0.0,3,0.0007474081940017641,202,0,0,0,16,0.0,3.679793670281761,0.059522272245471464,943.3617160828443
ppo,S3,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,5.863795484040685,0.5622814845112983,0.642499976562566,0.278588853630992,0.48662660420748216,0.0,0,0.0019459478789940476,360,0,0,0,0,0.0,0.0,0.07122206939129683,926.1330624438114
bc_dagger,S3,1000,False,0,1,1,0,COLLISION_STATIC,3.8099999999999627,77,4.071562560573096,0.390423616763333,-0.011322187759745306,0.8619385224889968,1.9554800795492144,0.0,1,0.00013525766553357244,77,0,0,0,14,0.0,2.1759489500643134,0.060633636356026005,949.877024842634
lite_rule_baseline,S3,1000,True,1,0,1,0,,9.349999999999845,187,10.165844292807755,0.974806511555169,0.04423418174580007,0.006540259588486886,0.04722815056235838,0.0,1,0.0022814322728663683,185,2,0,2,2,0.05,8.681161535743502,0.024161556231220287,974.1817964300697
bc,S3,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,11.160706063068648,1.0702041690260535,0.0353076212868183,0.20206057575091418,0.29477059636861885,5.899999999999987,3,0.00042311465949751437,208,61,91,152,152,6.95,40.00809395652418,0.060907491630738754,901.6269655708716
ppo,S3,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,5.863795484040685,0.5622814845112983,0.642499976562566,0.278588853630992,0.48662660420748216,0.0,0,0.0019459478789940476,360,0,0,0,0,0.0,0.0,0.07138747508482386,924.5981620589415
bc_dagger,S3,1000,True,0,0,0,1,SHIELD_SATURATION,18.000000000000014,360,4.0159962498920105,0.38509534299532516,0.03590766709265625,1.6830265093417798,1.918001538651007,11.750000000000032,1,0.00010537195339566097,90,63,207,270,270,12.75,69.11415852794205,0.059562833353589265,886.0849594548088
