total_timesteps,episode_reward,episode_length,success,collision,safety_cost,minimum_clearance,shield_interventions,policy_loss,value_loss,entropy,approx_kl,eval_success_rate,eval_collision_rate,eval_mean_time
20480,103.26740867010506,168,1,0,0.0,0.642499976562566,1,-0.01124049723148346,0.3981086015701294,-0.16270756721496582,0.018474135547876358,1.0,0.0,8.633333333333193
21504,104.00810361531238,166,1,0,0.0,0.642499976562566,1,0.19973602890968323,0.008860897272825241,-0.1629173755645752,0.02243410050868988,nan,nan,nan
22528,102.17874854361013,162,1,0,0.0,0.642499976562566,0,-0.4499343931674957,0.007927793078124523,-0.16281509399414062,0.022145669907331467,nan,nan,nan
23552,104.1237492560003,163,1,0,0.0,0.642499976562566,1,-0.12956790626049042,0.007656177505850792,-0.16283857822418213,0.014761710539460182,nan,nan,nan
24576,103.85572412576587,166,1,0,0.0,0.642499976562566,0,-0.18214353919029236,0.007250494323670864,-0.1629546880722046,0.012477596290409565,nan,nan,nan
25600,103.20465332832902,163,1,0,0.0,0.642499976562566,0,0.10531136393547058,0.011703887954354286,-0.16300451755523682,0.015908926725387573,1.0,0.0,8.483333333333198
26624,102.19365148475181,163,1,0,0.0,0.642499976562566,0,0.05508004128932953,0.5216239094734192,-0.1630549430847168,0.018799372017383575,nan,nan,nan
27648,102.5329940516902,164,1,0,0.0,0.642499976562566,1,0.12248004972934723,0.013422040268778801,-0.16314685344696045,0.0350448302924633,nan,nan,nan
28672,103.91547891250188,164,1,0,0.0,0.642499976562566,1,0.06768673658370972,0.00755088496953249,-0.16326236724853516,0.038602832704782486,nan,nan,nan
29696,105.19113118202709,162,1,0,0.0,0.642499976562566,0,-0.15180115401744843,0.007796890567988157,-0.16336524486541748,0.013787749223411083,nan,nan,nan
30720,102.78472991856341,164,1,0,0.0,0.642499976562566,0,-0.05913688242435455,0.30824804306030273,-0.16345930099487305,0.01882864534854889,1.0,0.0,8.466666666666532
31744,107.3922970725118,167,1,0,0.0,0.642499976562566,0,-0.19667494297027588,0.0757913589477539,-0.16346919536590576,0.023731883615255356,nan,nan,nan
32768,106.22253839382869,168,1,0,0.0,0.642499976562566,0,0.07814761251211166,0.1153639405965805,-0.16348397731781006,0.03241065889596939,nan,nan,nan
33792,99.80689544340876,182,1,0,0.0,0.06586341819270541,0,-0.23402978479862213,0.4954347014427185,-0.16352665424346924,0.07449588179588318,nan,nan,nan
