policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,total_abs_rotation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
lite_rule_baseline,S1,1001,True,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,1.9287784834461674,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.04544288053100742,583.9979799053224
bc,S1,1001,True,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,1.8656545468140389,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.36710485388600694,430.5823535619079
ppo,S1,1001,True,1,0,1,0,,8.549999999999862,171,10.319953167927252,0.9981270358889938,0.12558226312815624,0.14471447324815753,0.21328402310903918,0.0,1,2.198466428483952,0.0024085361510515213,171,0,0,0,0,0.0,2.7989672347130363,0.12057087709157106,751.5842076552719
bc_dagger,S1,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,7.01138033317402,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.09178911673694125,668.6927127088586
lite_rule_baseline,S2,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.03185042764213784,711.675497406049
bc,S2,1000,False,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.08362171103222665,678.4330997411097
ppo,S2,1000,False,1,0,1,0,,7.949999999999875,159,9.791467067419815,0.9791467067419815,0.22847122519461116,0.09037239176903226,0.1669937142268001,0.0,3,0.7322722403553777,0.0002759526832960546,159,0,0,0,0,0.0,0.989410104185221,0.12225110670745683,662.3831638896258
bc_dagger,S2,1000,False,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.08222488893941907,658.8958787672636
lite_rule_baseline,S2,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.03144025887819905,688.9119774925872
bc,S2,1000,True,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.10099624710000422,568.0569763021714
ppo,S2,1000,True,1,0,1,0,,7.949999999999875,159,9.791467067419815,0.9791467067419815,0.22847122519461116,0.09037239176903226,0.1669937142268001,0.0,3,0.7322722403553777,0.0002759526832960546,159,0,0,0,0,0.0,0.989410104185221,0.14610745285677215,558.4938106160681
bc_dagger,S2,1000,True,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.08094662982291695,685.109649264669
lite_rule_baseline,S2,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.029147554250154924,741.2567427651513
bc,S2,1001,False,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.08733577707029194,655.2760918344335
ppo,S2,1001,False,1,0,1,0,,7.949999999999875,159,9.791467067419815,0.9791467067419815,0.22847122519461116,0.09037239176903226,0.1669937142268001,0.0,3,0.7322722403553777,0.0002759526832960546,159,0,0,0,0,0.0,0.989410104185221,0.13237708176719756,612.6523294496667
bc_dagger,S2,1001,False,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.07956639690929532,708.0078095702703
lite_rule_baseline,S2,1001,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.032270831245815396,671.692330733255
bc,S2,1001,True,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.08966862043896719,650.1026465088796
ppo,S2,1001,True,1,0,1,0,,7.949999999999875,159,9.791467067419815,0.9791467067419815,0.22847122519461116,0.09037239176903226,0.1669937142268001,0.0,3,0.7322722403553777,0.0002759526832960546,159,0,0,0,0,0.0,0.989410104185221,0.12220281764111517,657.4430521346493
bc_dagger,S2,1001,True,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.08581353436706454,663.3016100796491
lite_rule_baseline,S3,1000,False,1,0,1,0,,8.949999999999854,179,10.162428332882333,0.9744789539138554,0.05728731364171619,0.007670245910164895,0.04633134003427089,0.0,1,1.2416647355706476,0.00210104463621974,179,0,0,0,2,0.0,6.773496319717086,0.03047628491120569,784.045619504877
