policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,total_abs_rotation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
bc_dagger,S2,1001,False,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.05971714279285777,851.1110964886958
lite_rule_baseline,S2,1001,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.39,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.02425198787264035,881.7377993873033
bc,S2,1001,True,1,0,1,0,,8.299999999999867,166,9.79741401935165,0.9797414019351651,0.3598717616418442,0.016188570523218617,0.030128238358155812,0.0,0,0.22852335006173236,0.00019652003538794816,166,0,0,0,0,0.0,0.0,0.05989758421974439,850.0683454937065
ppo,S2,1001,True,0,0,0,1,CIRCLING,18.000000000000014,360,5.250791160952349,0.5250791160952348,0.4432455284727982,0.2771718499089173,0.6098174228456159,0.0,0,15.768867905139924,0.0006414796225726604,360,0,0,0,0,0.0,0.0,0.07164248064428749,837.9133268427281
bc_dagger,S2,1001,True,1,0,1,0,,9.449999999999843,189,9.830454581890024,0.9830454581890024,0.10291192065154975,0.16317628997208763,0.28708807934845026,0.0,1,0.7963112546654885,0.000161938471137546,189,0,0,0,0,0.0,14.019484379003497,0.05888716390395843,852.216842814019
lite_rule_baseline,S3,1000,False,1,0,1,0,,8.949999999999854,179,10.162428332882333,0.9744789539138554,0.05728731364171619,0.007670245910164895,0.04633134003427089,0.0,1,1.2416647355706476,0.00210104463621974,179,0,0,0,2,0.0,6.773496319717086,0.02385913968135345,972.5600389344281
bc,S3,1000,False,0,1,1,0,COLLISION_STATIC,10.08999999999983,202,11.191859918761264,1.0731915235943994,-0.003845620511187975,0.14982081413246717,0.29513187698884613,0.0,3,2.0650473423406956,0.0007474081940017641,202,0,0,0,16,0.0,3.679793670281761,0.059837673391727846,943.0381960560297
ppo,S3,1000,False,0,0,0,1,CIRCLING,18.000000000000014,360,5.750808156403327,0.551447088515086,0.642499976562566,0.17589509090041233,0.441575647589202,0.0,1,15.897088391950819,0.0005672253319062293,360,0,0,0,0,0.0,0.0,0.07202093610329838,909.3778660318097
bc_dagger,S3,1000,False,0,1,1,0,COLLISION_STATIC,3.8099999999999627,77,4.071562560573096,0.390423616763333,-0.011322187759745306,0.8619385224889968,1.9554800795492144,0.0,1,0.49865334884845625,0.00013525766553357244,77,0,0,0,14,0.0,2.1759489500643134,0.06311090895339133,938.2096581261242
lite_rule_baseline,S3,1000,True,1,0,1,0,,9.349999999999845,187,10.165844292807755,0.974806511555169,0.04423418174580007,0.006540259588486886,0.04722815056235838,0.0,1,1.2135883904673301,0.0022814322728663683,185,2,0,2,2,0.05,8.681161535743502,0.023709486675916245,970.1595925957383
bc,S3,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,11.160706063068648,1.0702041690260535,0.0353076212868183,0.20206057575091418,0.29477059636861885,5.899999999999987,3,2.2430281989846863,0.00042311465949751437,208,61,91,152,152,6.95,40.00809395652418,0.060803691657282694,898.9465470150532
ppo,S3,1000,True,0,0,0,1,CIRCLING,18.000000000000014,360,5.750808156403327,0.551447088515086,0.642499976562566,0.17589509090041233,0.441575647589202,0.0,1,15.897088391950819,0.0005672253319062293,360,0,0,0,0,0.0,0.0,0.07156641944574302,919.7791798268598
bc_dagger,S3,1000,True,0,0,0,1,SHIELD_SATURATION,18.000000000000014,360,4.0159962498920105,0.38509534299532516,0.03590766709265625,1.6830265093417798,1.918001538651007,11.750000000000032,1,0.5970604326564352,0.00010537195339566097,90,63,207,270,270,12.75,69.11415852794205,0.059141433358591816,884.4801375855083
lite_rule_baseline,S3,1001,False,1,0,1,0,,8.949999999999854,179,10.162428332882333,0.9744789539138554,0.05728731364171619,0.007670245910164895,0.04633134003427089,0.0,1,1.2416647355706476,0.00210104463621974,179,0,0,0,2,0.0,6.773496319717086,0.02368646917541774,974.9638966534136
bc,S3,1001,False,0,1,1,0,COLLISION_STATIC,10.08999999999983,202,11.191859918761264,1.0731915235943994,-0.003845620511187975,0.14982081413246717,0.29513187698884613,0.0,3,2.0650473423406956,0.0007474081940017641,202,0,0,0,16,0.0,3.679793670281761,0.058915009945074884,943.1502946464319
ppo,S3,1001,False,0,0,0,1,CIRCLING,18.000000000000014,360,5.750808156403327,0.551447088515086,0.642499976562566,0.17589509090041233,0.441575647589202,0.0,1,15.897088391950819,0.0005672253319062293,360,0,0,0,0,0.0,0.0,0.07196911947175977,920.9119935767197
bc_dagger,S3,1001,False,0,1,1,0,COLLISION_STATIC,3.8099999999999627,77,4.071562560573096,0.390423616763333,-0.011322187759745306,0.8619385224889968,1.9554800795492144,0.0,1,0.49865334884845625,0.00013525766553357244,77,0,0,0,14,0.0,2.1759489500643134,0.059475065096524886,948.2797626341833
lite_rule_baseline,S3,1001,True,1,0,1,0,,9.349999999999845,187,10.165844292807755,0.974806511555169,0.04423418174580007,0.006540259588486886,0.04722815056235838,0.0,1,1.2135883904673301,0.0022814322728663683,185,2,0,2,2,0.05,8.681161535743502,0.02401093593228952,971.6458213433747
bc,S3,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,11.160706063068648,1.0702041690260535,0.0353076212868183,0.20206057575091418,0.29477059636861885,5.899999999999987,3,2.2430281989846863,0.00042311465949751437,208,61,91,152,152,6.95,40.00809395652418,0.06055077217550004,898.546508919881
ppo,S3,1001,True,0,0,0,1,CIRCLING,18.000000000000014,360,5.750808156403327,0.551447088515086,0.642499976562566,0.17589509090041233,0.441575647589202,0.0,1,15.897088391950819,0.0005672253319062293,360,0,0,0,0,0.0,0.0,0.07206506671132552,918.5218015351501
bc_dagger,S3,1001,True,0,0,0,1,SHIELD_SATURATION,18.000000000000014,360,4.0159962498920105,0.38509534299532516,0.03590766709265625,1.6830265093417798,1.918001538651007,11.750000000000032,1,0.5970604326564352,0.00010537195339566097,90,63,207,270,270,12.75,69.11415852794205,0.06153033056458904,871.3671478265057
